variable_0,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,State,ID,target
120,2.51,6.6,0,0,9.3,16.69,186.7,4,15.87,98.2,0,146.7,85,99,96,408,2,GA,0,0
94,1.81,8.13,0,0,6.7,30.82,182.4,2,15.5,181.3,0,180.6,108,135,103,415,0,OH,1,0
82,3.0,4.93,0,0,11.1,24.46,194.9,2,16.57,143.9,0,109.6,105,61,94,510,1,DC,2,0
170,2.27,6.05,0,1,8.4,44.18,245.0,3,20.83,259.9,0,134.4,122,68,121,510,3,VA,3,0
93,3.38,3.2,19,0,12.5,23.26,179.5,3,15.26,136.8,1,71.1,105,113,95,510,2,CA,4,0
137,2.94,7.79,0,1,10.9,43.86,246.5,3,20.95,258.0,0,173.2,117,112,100,408,0,MT,5,1
50,2.59,7.51,0,0,9.6,50.2,127.4,6,10.83,295.3,0,166.8,100,127,105,415,1,ND,6,0
77,3.05,12.7,0,0,11.3,31.6,212.0,4,18.02,185.9,0,282.3,98,95,81,408,3,IN,7,0
105,3.13,9.18,0,0,11.6,38.57,182.2,2,15.49,226.9,0,203.9,77,106,107,415,0,MI,8,1
122,3.7,8.09,0,0,13.7,41.45,83.9,8,7.13,243.8,0,179.8,72,98,84,415,2,IN,9,0
56,3.27,8.76,30,0,12.1,21.61,172.1,3,14.63,127.1,1,194.6,116,89,111,415,1,GA,10,0
99,2.27,7.83,39,1,8.4,21.56,293.6,4,24.96,126.8,1,174.1,115,94,91,510,0,SC,11,0
73,2.86,6.9,0,0,10.6,43.3,90.2,8,7.67,254.7,0,153.4,79,80,60,510,0,MD,12,0
125,2.94,10.95,0,0,10.9,28.66,175.6,7,14.93,168.6,0,243.3,107,99,92,510,0,NV,13,0
138,4.16,8.71,0,0,15.4,22.76,166.4,3,14.14,133.9,0,193.5,110,87,139,415,1,MT,14,0
114,3.4,7.2,19,0,12.6,26.28,241.6,1,20.54,154.6,1,160.0,109,100,112,408,3,ID,15,0
84,3.32,7.54,0,0,12.3,27.03,167.9,5,14.27,159.0,0,167.6,128,80,101,415,1,AZ,16,0
90,2.16,10.18,0,0,8.0,35.22,292.5,1,24.86,207.2,0,226.3,104,121,103,415,2,WY,17,0
126,3.27,7.15,24,0,12.1,10.01,305.5,6,25.97,58.9,1,158.9,90,125,73,408,0,MA,18,0
138,1.35,9.35,0,0,5.0,21.61,247.7,3,21.05,127.1,0,207.7,106,102,75,510,3,SD,19,0
120,2.11,5.22,0,0,7.8,34.56,259.9,2,22.09,203.3,0,115.9,66,108,103,415,3,TX,20,0
141,2.46,6.85,0,0,9.1,31.47,233.0,7,19.81,185.1,0,152.2,98,126,106,415,0,MD,21,0
141,2.0,6.88,28,0,7.4,52.36,247.8,3,21.06,308.0,1,152.9,128,123,103,510,1,AL,22,0
84,1.78,8.86,0,1,6.6,50.9,61.9,7,5.26,299.4,0,196.9,88,71,89,408,2,OH,23,0
89,2.05,8.34,0,0,7.6,30.55,299.8,3,25.48,179.7,0,185.3,92,128,120,415,1,CO,24,0
85,3.65,9.96,33,0,13.5,35.34,233.5,3,19.85,207.9,1,221.3,88,95,92,408,1,FL,25,0
148,3.65,9.71,25,0,13.5,39.22,233.8,2,19.87,230.7,1,215.8,109,102,90,408,3,IL,26,0
123,3.0,14.67,0,0,11.1,25.5,89.8,3,7.63,150.0,0,326.0,95,98,91,415,3,NE,27,0
90,3.43,13.46,0,0,12.7,32.93,154.2,3,13.11,193.7,0,299.0,79,83,60,415,1,KY,28,0
113,3.65,8.52,0,0,13.5,26.35,330.6,3,28.1,155.0,0,189.4,106,93,123,510,1,WY,29,0
107,1.81,8.37,0,0,6.7,28.44,163.9,5,13.93,167.3,0,185.9,79,100,100,415,2,CO,30,0
51,2.78,8.42,0,0,10.3,30.86,196.9,2,16.74,181.5,0,187.2,87,108,119,510,1,DE,31,0
53,3.54,11.25,24,0,13.1,24.77,220.5,5,18.74,145.7,1,249.9,136,146,96,415,3,MN,32,0
13,3.48,11.67,31,0,12.9,45.1,147.6,1,12.55,265.3,1,259.3,95,94,117,415,1,MT,33,0
118,2.65,8.51,36,0,9.8,50.13,165.7,5,14.08,294.9,1,189.2,115,106,63,415,3,CO,34,0
51,2.75,12.75,0,0,10.2,36.52,149.7,5,12.72,214.8,0,283.4,58,94,66,510,0,IN,35,0
89,3.19,5.73,35,0,11.8,29.65,196.7,3,16.72,174.4,1,127.4,100,108,74,415,1,IA,36,0
87,2.92,10.24,36,1,10.8,29.1,185.8,3,15.79,171.2,1,227.6,102,138,97,408,1,IL,37,0
76,2.7,9.87,0,0,10.0,28.82,124.0,3,10.54,169.5,0,219.4,87,77,92,415,0,OR,38,0
101,3.62,8.69,0,0,13.4,21.22,257.2,4,21.86,124.8,0,193.2,85,66,115,415,0,IL,39,0
105,1.57,12.11,0,0,5.8,46.55,289.7,3,24.62,273.8,0,269.1,106,97,126,415,2,FL,40,1
102,3.54,9.17,0,0,13.1,46.44,211.1,7,17.94,273.2,0,203.7,82,85,129,408,2,MT,41,1
134,2.7,10.73,0,0,10.0,28.03,126.5,9,10.75,164.9,0,238.5,96,115,125,415,2,OK,42,0
127,3.02,11.85,36,0,11.2,31.14,126.8,8,10.78,183.2,1,263.3,76,117,71,510,1,AK,43,0
37,1.78,8.98,0,0,6.6,46.19,155.1,4,13.18,271.7,0,199.5,96,112,97,510,3,UT,44,0
1,3.73,9.84,0,0,13.8,24.62,112.5,3,9.56,144.8,0,218.7,66,107,79,415,1,MS,45,0
224,1.49,9.77,0,0,5.5,18.94,175.0,6,14.88,111.4,0,217.2,66,133,106,510,3,ID,46,0
104,3.27,11.51,0,0,12.1,20.15,177.8,4,15.11,118.5,0,255.7,109,92,98,415,1,ND,47,0
104,4.59,10.17,0,0,17.0,24.57,180.5,6,15.34,144.5,0,226.0,85,107,94,415,2,PA,48,0
131,2.94,11.44,25,0,10.9,32.76,225.9,6,19.2,192.7,1,254.2,105,85,59,415,2,AL,49,0
54,3.24,9.79,0,0,12.0,19.86,123.1,2,10.46,116.8,0,217.5,123,119,101,415,1,WI,50,0
127,2.86,10.44,0,1,10.6,42.08,108.5,3,9.22,247.5,0,232.0,118,99,72,510,2,WY,51,0
128,3.43,10.22,0,0,12.7,36.72,153.7,4,13.06,216.0,0,227.0,115,111,74,415,1,VA,52,0
142,2.94,9.63,0,0,10.9,24.72,209.1,1,17.77,145.4,0,214.0,98,93,96,415,1,NY,53,0
148,2.65,10.15,0,0,9.8,26.11,262.1,3,22.28,153.6,0,225.5,87,148,99,408,2,NM,54,0
105,3.08,10.87,0,0,11.4,21.32,261.5,9,22.23,125.4,0,241.6,95,116,104,510,2,HI,55,0
46,3.59,8.78,0,0,13.3,42.55,260.6,2,22.15,250.3,0,195.0,90,100,104,510,2,KS,56,1
114,1.24,8.86,0,0,4.6,28.76,149.9,4,12.74,169.2,0,196.9,83,96,119,415,2,LA,57,0
83,3.27,9.53,0,0,12.1,38.74,207.5,5,17.64,227.9,0,211.7,115,78,100,510,1,OH,58,0
120,1.27,11.94,0,0,4.7,30.6,224.2,7,19.06,180.0,0,265.4,82,80,91,415,3,FL,59,0
86,2.21,9.48,0,0,8.2,24.02,154.3,5,13.12,141.3,0,210.6,95,72,91,510,1,NV,60,0
71,3.16,11.48,0,0,11.7,47.41,190.2,7,16.17,278.9,0,255.2,67,110,84,415,0,UT,61,1
130,3.35,8.74,0,0,12.4,35.21,200.1,2,17.01,207.1,0,194.2,115,70,100,415,1,FL,62,0
157,0.59,6.82,0,0,2.2,46.95,165.8,4,14.09,276.2,0,151.6,119,95,79,415,3,HI,63,0
131,2.46,4.72,39,0,9.1,11.75,101.3,4,8.61,69.1,1,104.8,136,122,94,415,0,WI,64,0
48,4.24,11.84,22,0,15.7,25.84,258.8,5,22.0,152.0,1,263.2,131,63,109,510,2,NJ,65,1
10,2.35,9.29,0,0,8.7,31.11,214.8,6,18.26,183.0,0,206.4,77,103,73,510,2,MT,66,0
88,2.73,6.26,0,0,10.1,24.17,262.4,5,22.3,142.2,0,139.2,84,107,99,408,1,SD,67,0
73,3.0,7.64,0,0,11.1,41.09,168.5,2,14.32,241.7,0,169.8,133,115,122,415,2,RI,68,0
